stop_id,boardings,alightings,location
435,219.1,51.6,"{'latitude': '41.881525', 'longitude': '-87.659765'}"
436,204.6,67.1,"{'latitude': '41.881545', 'longitude': '-87.657333'}"
437,115.3,23.8,"{'latitude': '41.881608', 'longitude': '-87.654897'}"
439,136.8,51.9,"{'latitude': '41.88167775', 'longitude': '-87.64983775'}"
440,332.4,387.4,"{'latitude': '41.882', 'longitude': '-87.64728'}"
442,582,478,"{'latitude': '41.88311', 'longitude': '-87.642848'}"
443,980.2,1192.9,"{'latitude': '41.883084', 'longitude': '-87.639976'}"
445,68.6,62.6,"{'latitude': '41.883128', 'longitude': '-87.635516'}"
446,303.4,726.4,"{'latitude': '41.883137', 'longitude': '-87.632625'}"
447,267.4,1045.2,"{'latitude': '41.883145', 'longitude': '-87.629611'}"
448,151.7,1655.8,"{'latitude': '41.88316957', 'longitude': '-87.62749695'}"
449,904.5,1197.1,"{'latitude': '41.883159', 'longitude': '-87.625966'}"
450,1780,1241.8,"{'latitude': '41.88214', 'longitude': '-87.625973'}"
452,1191.1,610.2,"{'latitude': '41.882042', 'longitude': '-87.630679'}"
453,1060.9,737.3,"{'latitude': '41.8820052', 'longitude': '-87.63408179'}"
454,344.3,711.8,"{'latitude': '41.88196914', 'longitude': '-87.63744347'}"
455,807.7,1476.9,"{'latitude': '41.88194735', 'longitude': '-87.64104342'}"
456,159.6,190.4,"{'latitude': '41.88191463', 'longitude': '-87.64283539'}"
458,52.2,157.9,"{'latitude': '41.8818', 'longitude': '-87.649477'}"
459,78.9,189.8,"{'latitude': '41.881767', 'longitude': '-87.651833'}"
460,18.8,163.4,"{'latitude': '41.881722', 'longitude': '-87.654195'}"
462,38.6,176.6,"{'latitude': '41.88164', 'longitude': '-87.659483'}"
463,16.7,68.8,"{'latitude': '41.881587', 'longitude': '-87.66204'}"
464,51.1,203.7,"{'latitude': '41.881548', 'longitude': '-87.66449'}"
465,380.7,194.6,"{'latitude': '41.881523', 'longitude': '-87.666567'}"
466,161.2,92.7,"{'latitude': '41.88149', 'longitude': '-87.669113'}"
468,48.3,91.9,"{'latitude': '41.88141872', 'longitude': '-87.67423738'}"
469,199,133.8,"{'latitude': '41.881398', 'longitude': '-87.676448'}"
470,133,149.8,"{'latitude': '41.881337', 'longitude': '-87.678923'}"
